Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
EIP Funds,52396774.34166667,110267448.5,0.475178985769918
Elements Funds,321330776.90916663,2589848545.4166665,0.12407319241807999
Emerald,1610230315.2508333,1838872690.8333333,0.8756616612328476
Empiric Funds,50036056.76416667,27490142.416666664,1.820145418156543
Ensemble Fund,15907812.25,23097451.333333332,0.6887258693794701
EntrepreneurShares,248562028.69416666,335820671.5833333,0.7401629790156811
Equity Investment Corp,306716055.2816667,240847157.08333334,1.2734883774257824
EquityCompass,106532952.67249998,72378496.5,1.471886787155077
Essex Funds,5791435.855,5851162.833333333,0.9897922891509572
Euro Pacific Asset Management,486546018.12916666,302470896.8333333,1.6085713476006318
Eventide Funds,2717737146.688333,2687767305.166667,1.0111504598869312
Evermore,641805421.3608333,648487002.25,0.9896966618205388
Fairholme,2195502532.713333,1668231172.5,1.316066123751403
FAM,1846365992.1833334,1659032242.3333333,1.1129174859112598
FCI Funds,31250606.400000002,36455471.75,0.8572267728232046
Federated,60441249811.84983,66978753131.4881,0.9023943711402885
Fidelity Investments,700563130987.9374,1443554261687.6807,0.48530432806100315
Fiera Capital,2467635810.7958336,2049517086.2954545,1.2040084111990192
FinTrust,10537765.259166667,6085714.25,1.7315576818557767
First Eagle,88238714570.939,77286310277,1.1417120865866768
First State,5036676.381818181,10408422.833333334,0.48390389807070966
First Trust,610991581.8233334,483788646.9166667,1.2629307978129913
First Western Capital Mgt,156941974.4625,234796644.83333334,0.6684165975791637
Firsthand Funds,192946479.775,185987486.3333333,1.037416460531084
Fisher Investments,24962.6,24860.666666666668,1.0041001850312408
"Flippin, Bruce & Porter Funds",62828758.20166667,62989996.5,0.997440255480355
FMI Funds,12733763270.301666,14249844013.083334,0.8936072043041527
Footprints,4095608.4,4261436.583333333,0.9610863191108148
Forester,58073681.034166664,32315187.166666668,1.7971018002974792
FormulaFolios,246044133.125,304742518.8333334,0.8073836695547034
Fort Pitt Capital Funds,84244890.82333332,70977228.41666667,1.1869284375092783
Foundry,203216286.4425,191238957.0833333,1.062630175053441
FPA,25238639676.15667,23007534005.25,1.0969728294391552
Frank Funds,41577709.24,20258073.5,2.0524019344682505
Franklin Templeton Investments,329230671139.16516,373108464596.5833,0.8823993620598766
Freedom Funds,611150833.3333334,1233433333.3333333,0.49548752803826723
Friess Associates,103563862.77499999,135576648.3333333,0.7638768478799859
Frontier Funds,1397085123.8633335,1954037493.8333335,0.7149735500328611
FS Investments,110279721.03725001,119213711,0.9250590398721
Fulcrum,198998289.1666667,181010852.75,1.0993721434013115
Fuller & Thaler,155247298.86666667,866290098.1666666,0.17920936554073189
Fund X,535549992.74,433840651.3333333,1.234439398645749
FundVantage,0,828628951.8,0
Gabelli,18528750920.6725,12539545217.535715,1.477625432121835
